id;nome;descricao;created_at;updated_at;deleted_at
1;commodity gadzooks;../fake-data/blob/hipster.txt;2024-05-27T17:01:28;2024-05-28T10:24:38;2024-05-28T12:17:51
2;almighty;../fake-data/blob/hipster.txt;2024-05-28T02:08:58;2024-05-27T20:06:07;2024-05-28T02:26:25
3;modulo apud inside;../fake-data/blob/hipster.txt;2024-05-27T17:35:51;2024-05-28T09:46:49;2024-05-27T17:21:27
4;crime to wax;../fake-data/blob/hipster.txt;2024-05-28T04:06:16;2024-05-28T07:42:26;2024-05-27T20:59:57
5;inasmuch leaven;../fake-data/blob/hipster.txt;2024-05-27T20:07:44;2024-05-28T14:01:38;2024-05-27T21:44:43
6;midst;../fake-data/blob/hipster.txt;2024-05-28T06:24:57;2024-05-28T02:52:04;2024-05-27T22:07:40
7;however kiddingly;../fake-data/blob/hipster.txt;2024-05-28T13:22:39;2024-05-28T03:48:43;2024-05-28T13:58:25
8;astrakhan feisty rigidly;../fake-data/blob/hipster.txt;2024-05-28T05:52:11;2024-05-27T21:51:32;2024-05-28T12:45:10
9;until daily queasily;../fake-data/blob/hipster.txt;2024-05-28T05:20:31;2024-05-27T23:29:32;2024-05-28T10:24:28
10;ferociously retrospective drat;../fake-data/blob/hipster.txt;2024-05-28T03:45:33;2024-05-27T21:26:57;2024-05-28T08:56:05
