id;numero;data;ano;justificativa_exclusao;created_at;updated_at;deleted_at
1;9452;2024-05-28;5967;liquid wolf;2024-05-27T23:45:37;2024-05-28T16:45:40;2024-05-28T01:31:40
2;8566;2024-05-27;26673;joyfully when;2024-05-28T11:55:02;2024-05-28T12:42:41;2024-05-27T18:25:57
3;7597;2024-05-27;28745;till ounce dowse;2024-05-28T00:15:53;2024-05-28T02:47:59;2024-05-27T22:48:47
4;32345;2024-05-28;13643;enthrall concerning shoot;2024-05-27T18:15:02;2024-05-27T20:59:43;2024-05-28T04:36:53
5;21544;2024-05-28;2373;onto;2024-05-28T08:10:44;2024-05-27T17:14:04;2024-05-27T20:19:05
6;11207;2024-05-28;4088;short-term huzzah;2024-05-28T03:28:21;2024-05-27T20:00:16;2024-05-27T17:43:13
7;23915;2024-05-27;21779;bolster concerning quickly;2024-05-28T01:17:32;2024-05-27T22:51:36;2024-05-28T01:25:20
8;5570;2024-05-27;12975;graduate beneath;2024-05-27T23:32:27;2024-05-28T00:28:53;2024-05-28T13:32:35
9;31978;2024-05-28;7920;unsightly;2024-05-27T18:06:44;2024-05-28T04:03:25;2024-05-27T17:22:42
10;29046;2024-05-28;28322;adult alphabetize corrupt;2024-05-28T00:12:54;2024-05-27T19:54:56;2024-05-27T22:07:35
