id;nome;sigla;created_at;updated_at;deleted_at
1;encounter;../fake-data/blob/hipster.txt;2024-05-28T02:12:15;2024-05-28T16:23:06;2024-05-27T23:17:13
2;astrolabe nor reciprocity;../fake-data/blob/hipster.txt;2024-05-28T12:54:14;2024-05-28T09:36:20;2024-05-27T16:56:55
3;yowza;../fake-data/blob/hipster.txt;2024-05-28T14:40:58;2024-05-27T22:13:21;2024-05-28T09:42:40
4;owlishly furthermore;../fake-data/blob/hipster.txt;2024-05-27T17:05:00;2024-05-28T03:19:16;2024-05-28T16:39:23
5;psst;../fake-data/blob/hipster.txt;2024-05-28T06:56:10;2024-05-28T03:52:53;2024-05-28T05:27:44
6;perform;../fake-data/blob/hipster.txt;2024-05-28T13:07:16;2024-05-28T03:01:44;2024-05-28T10:10:05
7;unimpressively;../fake-data/blob/hipster.txt;2024-05-28T12:50:45;2024-05-27T20:30:50;2024-05-28T03:52:14
8;vapid adrenaline until;../fake-data/blob/hipster.txt;2024-05-28T02:53:06;2024-05-27T18:35:14;2024-05-27T19:58:47
9;continually rosemary thoughtfully;../fake-data/blob/hipster.txt;2024-05-28T04:38:03;2024-05-28T08:17:59;2024-05-28T05:04:39
10;furniture whereas ew;../fake-data/blob/hipster.txt;2024-05-28T12:34:44;2024-05-27T17:06:48;2024-05-27T21:37:26
